user,user_at,tweet
Python - Your Crypto Plug,@PythonCryptoLTD,"Hey guys - I got some @PhantomMages grails - If the team delivers with Mageverse, and with all that they have planned, it's definitely looking very bullish - there is already a scarcity in the total supply. Art is pretty catchy too. #SolanaNFTs #Solana"
Sahithi Vangipuram,@SahithiBhardwaj,"Day 52 of #100DaysOfCode Python Solved hackerrank Challenges - What's your name? - Mutations - Find a string [I got to know a new method: ""startswith()""] The 3-day project workshop has started, my team and I have brainstormed some problem statements. I'll provide updates."
Maciej,@marz_incognito,"Why use @FastAPI ? It's modern, fast, and offers first-class support for data validation by using Pydantic. Nowadays if your using Python in webdev you have two options: django or fastapi. Fastapi replaced flask, and nobody miss flask, neither do I."
Sun K,@SUNKIM133,"Day 43 of #100DaysOfCode Today, I studied more about Flask and how to render HTML files using Flask. section 55 & 56 of Udemy course Advanced Python decorators (*args, **kwargs) Higher and Lower Game Rendering HTML with Flask Name card project"
Dr. Shana Adise,@ShanaAdise,pls still hiring a #postdoc w interests in neurocognition & obesity. Position is in Los Angeles & will use big data like the ABCD Study. Strong biostats skills required. R/python/MATLAB is a #AcademicChatter @PsychJobs #neuroscience #Psychology
Frank,@nyateng_Jr,"Day 37 of #100DaysOfCode Completed my seventh project, iPhone Sales Analysis using Python. Short and a simple project. Check out the descriptive statistics on the dataset on my GitHub pagehttps://github.com/Nyateng-Jr/iPhone-Sales-Analysis-using-Python… #DataAnalytics #Python"
CyberPatron ©,@CyberPatronMC,11 Ways To Use Python For Cybersecurity 1) Identifying Vulnerabilities 2) Web Application Security 3) Cryptography 4) Automating Tasks 5) Machine Learning 6) Password Cracking 7) Forensics 8) Reverse Engineering 9) Network Security 10) IoT Security 11) Penetration Testing
Senior PowerPoint Engineer,@ryxcommar,"The output objective function has noticeable errors including the fact that it is trivially non-convergent. If you copy+pasted this into python and used it as a loss function, it would never converge on any (s_i, o_i)."
David Corn,@DavidCornDC,Or they could use this method: https://youtube.com/watch?v=X2xlQaimsGg…
NEWTENSTEINS MONSTER (2/2),@Newtybot,"unironically they should make a chess movie but like a comedy trying to be really serious, like a monty python movie or something"
ephergent,@ephergent,"Exciting News! We've just released a new GitHub repo featuring a Python example to talk with webpages using @Ollama , #ChromaDB, and @LangChainAI . Check it out now: https://github.com/ephergent/talk_to_web… #Python #AI #OpenSourceAI"
"Tangled Group, Inc",@TangledGroup,Cybersecurity of LLM - llama-cpp-python exploit - Arbitrary Code Execution #ai #ml #llm #cybersecurity #exploit #llama #llamacpp #mistral #python Exploit https://github.com/tangledgroup/llama-cpp-python-exploit… TangledLabs is developed by TangledGroup with https://labs.tangledgroup.com
Ronnie Hui,@Monchi_cg,"Day 12 of #100DaysOfCode. I have created a Guess The Number Game as my Day 12 Project for the course: ""100 Days of Code: The Complete Python Pro Bootcamp for 2023"". Check it out: https://replit.com/@RonnieHui #Python #Bootcamp #udemy"
Sahil Wankhade,@_sahil_r,Day 37 of #100DaysOfCode - learning python from freecodecamp - A 6kyu and a 7kyu codewars in JavaScript - coded 2 solutions for a easy leetcode
Monty Python,@montypython,"Calling all US audiences! This December we're celebrating 48 ½ years of #MontyPython and The Holy Grail! In partnership with @ICONICEventsNow , we're releasing the film in over 500 theaters across the US from December 3rd. Book your tickets now at: https://bit.ly/HolyGrailBackinCinemas…"
Data-Driven Health & Social Care Talent Programme,@HSCDDITalent,@HSCDDITalent team at the @NHSrCommunity today! @DrPawel sharing his passion and expertise in teaching programming to non-programmers @BrittNeuroPsych signposting our data science opportunities! Lots of enjoyable lightning talks promoting the use of #R and #python
Carl (GoodTrouble) Jones,@Youthguy07,#TheFirstRedFlagWas she thought Monty Python was stupid.
MyExamCloud,@myexamcloud,"MyExamCloud Premium Launched We are excited to announce that MyExamCloud is introducing a new Premium Plan. With this plan, you will have access to all of our courses for a single price. https://myexamcloud.com/onlineexam/courseshome.html… #myexamcloud #java #python #freshers #awscertified #AWS"
C. A. Funderburg,@CFunderburg,"I think literally the most under-appreciated trio of films in all of le cinema is Alain Corneau's early stretch with SÉRIE NOIRE, CHOICE OF ARMS and POLICE PYTHON 357. Each one is a funny, brutal, kinda nuts little crime film."
Python,@CorePython,I love how much the Rangers get under teams skins now and I love how they responded after the bullshit officiating beautiful effort
Muhammad faraz,@UpdateWorlddata,"8. Web Programming with Python and JavaScript 2023. A deep dive into web apps using Python and JavaScript. Learning Objectives:Design and implement web apps, frameworks mastery. https://pll.harvard.edu/course/cs50s-web-programming-python-and-javascript/2023-05…"
Sjoerd Bruijn,@sjoerdmb,Just a reminder; the code to calculate all of these measures yourself is also openly available (Python and Matlab versions!) at https://github.com/VU-HMS/Tutorial-stabilizing-walking…
Not Python,@notpythonn,Bellingham is SO head and shoulders above the rest of the england team it’s actually unfair lol. Even leaves Kane behind by a distance and that’s no joke
Muhammad faraz,@UpdateWorlddata,6. CS50's Introduction to Programming with Python. Explore programming using Python for various applications like: - Data science - Web programming - General-purpose programming https://edx.org/course/cs50s-introduction-to-programming-with-python…
Sahil Shangloo,@SahilShangloo35,"Day 63 of #100DaysOfCode : Today, in python : Revised concepts of OOP and Delved deeper into it. #MachineLearning #pythonprogramming"
Linda Six,@LindaSix00,"Lately I've blocked a lot of accounts that were all started in June 2013, with around 500 followers, and exactly two tweets. Monty Python was wrong, spam is not wonderful. #WritingCommunity #readerscommunity #BookTwitter"
Python,@CorePython,WE MIGHT GET A HEALTHY KANE ON THIS TEAM
b33f |,@FuzzySec,"Ok I saw people recommending python to new people in the field, please, just stop. Choose .NET. Choose strong typing for robust code. Choose top-of-the-line IDEs by JetBrains, offering superior debugging capabilities and outstanding compile-time checks. Choose .NET for…"
Tom Martens,@tommartens68,"my dear #PowerBI and #MicrosoftFabric friends, my new article is about creating a solution that monitors the on-premises data gateways (there will be more items considered in the future). Using #Python, Power BI's REST API, and a Direct Lake dataset: https://minceddata.info/2023/10/16/power-bi-gateway-monitoring-and-more-using-microsoft-fabric/……"
Monty Python,@montypython,What would you rather be... a barber or a lumberjack? #MontyPython #FlyingCircus #Barber #Lumberjack #MichaelPalin #TerryJones #Comedy
Dolly McQueen,@DollyPower100,"They could mock the crucifixion, but they deleted the scene which made fun of Zionists."
haseena shaik,@haseena99699027,AI and Big Data: A Powerful Alliance #ArtificialIntelligence #ai #MachineLearning #technology #DataScience #Python #deeplearning #programming #tech #Robotics @Tycoonstoryinfo https://tycoonstory.com/ai-and-big-data-a-powerful-alliance/…
Explore Products,@JuniorJoePython,Yoga Week
Explore Products,@JuniorJoePython,FASHION TUESDAY
Taipy.io,@Taipy_io,"This #Python demo, powered by http://taipy.io and the PuLP math solver, offers efficient #production and #cost management #solutions. It minimizes costs while meeting demand and capacity constraints. https://lnkd.in/d3hrithS"
Avaalo,@avaalo_ltd,"The DLIST IS HERE - Internship - Backend Developers( Java,Python,NodeJs, C#, .NET,Scala, Kotlin) - Front End Developers(Angular , ReactJs) - Product Manager - Q/A - DevOps #zaDlist"
Koushik Das,@koushiktwts,"Day 1 and 2 of #100DaysOfCode - Solved 4 CSES problems with python. Test case passed with 3, got left out with 1. - Can't do JAVA or attend classes in the last 2 days because of extreme health issues. (Went off the limit totally) #LearningInPublic #ProblemSolving #DSA"
-The Golden「Dolphin 」,@MeTheCosmicDust,"Groww Hiring Role: Business Analyst (1+ years) Salary: 12 - 25 LPA Location: India Skills: Python, SQL Apply:"
Dhesika,@Dhesika_here,"Day 19 of #100DaysOfCode Topics: Advanced Turtle Graphics, EventListeners, Higher-order state, multiple instances Project: TurtleRace Project Link: https://github.com/dhesika-ts/100DaysOfPython/tree/main/Day19… #Python #pythonprogramming #100daysofcodechallenge #100days #code #challenge"
Leyens,@Leyens_OS,Open Sourcing my #FriendTech toolkit. Hype seems to be over and sniping isn't profitable as it once was.
Dhesika,@Dhesika_here,"Day 17 of #100DaysOfCode Topics: Benefits of OOPS, constructor, pass keyword Project: Quiz Project with OOPS Link: https://github.com/dhesika-ts/100DaysOfPython/tree/main/Day17… #pythonprogramming #Python #100daysofcoding #challenge #100daysofcodechallenge #codewithme"
Lorenna “bipolarlioness” Cleary,@Brodie_Dog,Which Python member was your crush growing up? Mine was Michael Palin.
Kanger,@kangerDev,Machine Learning Libraries Each of programming language has its own strengths and weaknesses for machine learning Link: https://kanger.dev/article/machine-learning-libraries… #MachineLearning #programming #DataScience #ArtificialIntelligence #data #Python #Java #javascript #tech #developers #NLP #AI
Zhully,@Zhully11,"A Python generator is a special type of function that allows values to be generated using the yield keyword, making them memory-efficient and suitable for processing large datasets. #100daysofcoding #100DaysOfCode #pythonprogramming"
Matt Edmondson,@matt0177,Putting the finishing touches on tomorrow morning's free @SANSInstitute webinar on OSINT Persistent Monitoring with Python! #OSINT https://sans.org/webcasts/setting-up-osint-watchdogs-create-free-persistent-monitoring-tools-python/…
OSINT (Uri),@UKikaski,"Two Israeli F-16I Soufa (Storm) Block 50/52 multirole fighters seen taxiing for takeoff. The lead plane has removable conformal fuel tanks (CFT) and is carrying a Rafael LITENING II targeting and navigation pod below the air intake, four GBU-31 JDAM bombs, two Python-4 air-to-air…"
Onungene Ezechukwu,@ezechukwumicha4,"The first argument specifies the separator to use when splitting the string, which in this case is a space character. The second argument specifies the maximum number of splits to perform, which in this case is 0, meaning that no splits will be performed. The result of this…"
Python Nerd,@laud_kotey,This !!!! https://twitter.com/viaopeimu/status/1713826101221343430…
data sensei,@raqibcodes,"i explored live webcam video using the python libraries; mediapipe and openCV which processed the video. it tracked my face, hands and body moves in real-time -just like Snapchat filters! computer vision really has so much potential for fun and creativity tbh!"
Bicoloured-Python-Rock-Snake,@pythonrocksnake,"This is so real. Babies are contagious, and modern society is organized to Stop The Spread."
Graeme Wood,@woodg31,TV14/10/71 BBC1 4.55:Blue Peter 5.20:Ivanhoe 5.44:Magic Roundabout 5.50:News 6.0:Nationwide 6.50:Tom and Jerry 7.0:Owen MD 7.25:Top of the Pops 8.0:Bachelor Father 8.30:Monty Python's Flying Circus 9.0:News 9.20:Play for Today - Traitor 10.20:24 Hours
Monty Python's Spamalot,@SpamalotBway,No one has ever MOTHERED so hard before.
Adrien Peyrache,@apeyrache,"final version of the Pynapple article is now live! Of course, it describes a previous version of the toolbox. The new prerelease incorporates significant updates, primarily under the hood. https://github.com/pynapple-org/pynapple…"
Course Coupon Club -Discount Courses,@Course_club,"Recursion, Backtracking and Dynamic Programming in Python https://coursecouponclub.com/recursion-backtracking-and-dynamic-programming-in-python/… #DynamicProgramming #Python #Udemy #UdemyCoupon"
TaΞKwonKrypto Memecoin | CAP 8365,@TaeKwonKrypto,"Words can't express what SOLD OUT means to me. After yrs of (losing) $ETH minting/learning, but meeting great people, learning #ai and #python, #tkkbots is the culmination of that journey. I do not take lightly those who traded .01/bot and I hope we all win together. [end]"
PythonSelkan,@PythonSelkan,"Following 10,000+ votes from our YouTube Community Poll - Metal Gear Solid (1998) has been selected as the first game fans will play from MGS: MASTER COLLECTION VOL. 1 Age hasn't slowed MGS1 down one bit @Metalgear @Konami #MetalGearSolid #メタルギアソリッド #MGSVol1"
VideosMadeWithPython,@VideosByPython,"Today's video is live! Title: ""Daily Quote"" Watch here -> https://youtube.com/watch?v=XrsYwWYG8Sc… Please support the channel and subscribe! -> https://youtube.com/channel/UCGU6cW0iBDA0N3D6iHcc5zg… Datetime: 2023-10-15 12:10:48.685377-05:00 #quotes #subscribe #quoteoftheday"
Python,@CorePython,This is nothing new
Bilginç IT Academy,@BilgincITAcadem,"Download Alex Martelli's ""#Python Algorithms"" free #ebook and learn to implement classic #algorithms and design new problem-solving algorithms using Python. https://bilginc.com/en/online-academy/free-document/python-algorithms/172/…"
Matt Zandstra,@getInstance_mz,Today in #PythonForPHPProgrammers -- declaring and assigning to variables. What works more or less across languages? What demands a different approach? https://hiddenhat.press/pyforphp-declaring-assigning-variables/… #php #python #programming
Survey Design and Analysis Services,@SDAS_ANZ,"In #Part9 of this @Stata blog series on #Python integration - Continuing on from #Part8, use the @Stata function interface #SFI to move data from #Python into #Stata. Check it out! https://blog.stata.com/2020/11/19/stata-python-integration-part-9-using-the-stata-function-interface-to-copy-data-from-python-to-stata/…"
deepsense.ai,@deepsense_ai,"Get ready for the second http://deepsense.ai talk during the 18th PyData Bydgoszcz Meetup. Jakub Sandomierz, a Senior Software Engineer at http://deepsense.ai, will delve deep into the topic ""Accelerating Python using C++.” Info: https://meetup.com/pydata-bydgoszcz/events/296378304/… #deepsenseAI"
Real Python,@realpython,Ready to level up your security skills? Join Snyk & John Hammond for Fetch the Flag CTF on Oct 27: 30 hacking challenges Build a team of 5 players Open to all skill levels Register for free #sponsored
wisdom-like-silence,@lawofcons,"Read this in like a way on-the-nose Holy Priest voice, like from Monty Python. https://docs.python.org/3/tutorial/modules.html#more-on-modules… oh damn we came full circle huh. I'm making a joke comparing docs for a project named after jokers to the way they talked in some of their jokes"
VideosMadeWithPython,@VideosByPython,"Today's video is live! Title: ""Quotes"" Watch here -> https://youtube.com/watch?v=_lFo-DZ2_Ps… Please support the channel and subscribe! -> https://youtube.com/channel/UCGU6cW0iBDA0N3D6iHcc5zg… Datetime: 2023-10-14 00:10:49.288120-05:00 #quotes #subscribe #quoteoftheday"
